series_id,series
409,jake hunter
410,professor layton
411,eastshade
412,the bard's tale
413,mario sports
414,marvel vs. capcom
415,mass effect
416,mega man
417,micro machines
418,playground sports
419,pako
420,planet of the apes
421,psychonauts
422,pubg universe
423,serious sam
424,simulacra
425,sniper: ghost warrior
426,south park
427,spellforce
428,standoff
429,star trek
430,sudden strike
431,bomberman
432,super robot wars
433,syberia
434,valkyria chronicles
435,kingdom of loathing
436,wipeout
437,wonder boy
438,vampire: the masquerade
439,mage: the ascension
440,battletech
441,under night in-birth
442,arcana heart
443,akatsuki blitzkampf
444,bloons td
445,return 2 games
446,brave frontier
447,command & conquer
448,crayola
449,dakar rally
450,darksiders
451,dillon
452,disaster report
453,ea sports fc
454,fifa online
455,fear effect
456,fist of the north star
457,frozen synapse
458,god of war
459,guacamelee!
460,the house of the dead
461,jurassic park
462,leisure suit larry
463,my hero academia
464,ni no kuni
465,nicktoons
466,pathfinder
467,paw patrol
468,reader rabbit
469,red dead
470,remothered
471,bit.trip
472,russian fishing
473,shadowgun
474,marvel's spider-man
475,spirit hunter
476,spyro
477,state of decay
478,underworld
479,v-rally
480,wario
481,warriors orochi
482,taimanin
483,age of wonders
484,arida
485,blacksad
486,blair witch
487,stress level zero
488,crypt of the necrodancer
489,contra
490,crackdown
491,da capo
492,darius
493,the dark pictures anthology
494,disney tsum tsum
495,brain age
496,don't escape
497,doraemon
498,efootball pro evolution soccer
499,football manager
500,gears
501,touhou project fangame
502,ice age
503,john wick
504,kingdom under fire
505,front mission
506,marvel ultimate alliance
507,maximum football
508,medievil
509,metro
510,planetside
511,power rangers
512,sakura wars
513,samurai shodown
514,shenmue
515,steven universe
516,league of legends
517,terminator
518,toejam & earl
519,no more heroes
520,zombieland
521,ao tennis
522,automobilista
523,battletoads
524,steel sky
525,half-life
526,bless
527,bloodstained
528,captain tsubasa
529,the karate kid
530,cooking mama
531,cyberpunk
532,desperados
533,destroy all humans!
534,drawn to life
535,ea sports ufc
536,fairy tail
537,fast & furious
538,g.i. joe
539,aleste
540,granblue fantasy
541,medal of honor
542,microsoft flight simulator
543,the minotaur project
544,namco museum
545,one-punch man
546,orcs must die!
547,poly bridge
548,risk of rain
549,romance of the three kingdoms series
550,samurai jack
551,spintires
552,space channel 5
553,streets of rage
554,torchlight
555,puzzle bobble
556,wraith: the oblivion
557,angelique
558,blue reflection
559,cotton
560,kimetsu no yaiba
561,dark alliance
562,efootball
