Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,26.150000,27.770000,25.910000,27.770000,27.770000,931551
2022-11-01,28.000000,28.580000,27.639999,27.940001,27.940001,471965
2022-11-02,27.959999,28.230000,27.410000,28.000000,28.000000,553614
2022-11-03,27.690001,27.690001,27.080000,27.540001,27.540001,422927
2022-11-04,27.760000,28.360001,27.590000,27.790001,27.790001,386238
2022-11-07,27.680000,27.969999,27.290001,27.680000,27.680000,345489
2022-11-08,26.950001,27.600000,26.049999,27.070000,27.070000,1557128
2022-11-09,27.110001,27.139999,23.820000,25.879999,25.879999,1245331
2022-11-10,25.820000,26.770000,24.680000,26.770000,26.770000,791461
2022-11-11,27.049999,27.760000,26.790001,27.660000,27.660000,664107
2022-11-14,27.840000,28.059999,27.209999,27.709999,27.709999,443932
2022-11-15,27.740000,27.969999,27.290001,27.690001,27.690001,387436
2022-11-16,27.670000,28.350000,26.410000,26.610001,26.610001,798099
2022-11-17,26.620001,26.840000,25.879999,26.170000,26.170000,584376
2022-11-18,26.090000,26.260000,25.809999,25.920000,25.920000,459520
2022-11-21,25.799999,25.879999,24.900000,25.040001,25.040001,547728
2022-11-22,24.950001,25.420000,24.639999,25.420000,25.420000,556271
2022-11-23,25.500000,25.900000,25.180000,25.850000,25.850000,455157
2022-11-24,26.000000,26.969999,25.750000,26.790001,26.790001,583109
2022-11-25,26.900000,26.910000,26.230000,26.709999,26.709999,372549
2022-11-28,26.510000,26.850000,26.219999,26.370001,26.370001,456370
2022-11-29,26.580000,26.910000,26.150000,26.200001,26.200001,604043
2022-11-30,26.350000,26.580000,26.049999,26.580000,26.580000,838559
2022-12-01,27.000000,27.840000,26.990000,27.549999,27.549999,754638
2022-12-02,27.540001,28.650000,27.230000,28.400000,28.400000,744972
2022-12-05,28.450001,28.780001,27.990000,28.330000,28.330000,541021
2022-12-06,27.549999,27.820000,27.209999,27.480000,27.480000,684457
2022-12-07,27.600000,28.469999,27.440001,28.139999,28.139999,612081
2022-12-08,28.389999,28.480000,26.160000,26.840000,26.840000,687018
2022-12-09,27.000000,27.500000,26.830000,26.959999,26.959999,441441
2022-12-12,26.750000,27.080000,26.620001,26.850000,26.850000,445055
2022-12-13,27.000000,27.299999,26.400000,26.490000,26.490000,597704
2022-12-14,26.219999,26.910000,25.889999,26.820000,26.820000,638995
2022-12-15,26.610001,26.610001,25.680000,25.770000,25.770000,665923
2022-12-16,25.690001,25.750000,25.280001,25.480000,25.480000,1296991
2022-12-19,25.520000,26.139999,25.450001,25.870001,25.870001,523306
2022-12-20,25.799999,25.809999,25.360001,25.480000,25.480000,385712
2022-12-21,25.700001,26.799999,25.700001,26.770000,26.770000,375117
2022-12-22,26.900000,27.030001,25.790001,26.020000,26.020000,482598
2022-12-23,26.200001,26.870001,26.120001,26.570000,26.570000,305339
2022-12-27,26.629999,26.709999,26.049999,26.309999,26.309999,258147
2022-12-28,26.350000,26.450001,26.049999,26.150000,26.150000,226303
2022-12-29,26.180000,27.200001,25.930000,27.200001,27.200001,337424
2022-12-30,27.010000,27.010000,26.410000,26.410000,26.410000,338746
2023-01-02,26.830000,27.320000,26.680000,27.100000,27.100000,229928
2023-01-03,27.139999,27.670000,26.889999,27.150000,27.150000,384865
2023-01-04,27.320000,27.969999,27.090000,27.910000,27.910000,392642
2023-01-05,27.660000,28.160000,26.940001,26.940001,26.940001,536677
2023-01-06,26.799999,26.799999,25.430000,25.790001,25.790001,717892
2023-01-09,25.660000,25.660000,24.600000,24.930000,24.930000,712367
2023-01-10,24.650000,24.840000,23.309999,23.809999,23.809999,890365
2023-01-11,23.870001,24.320000,23.059999,23.870001,23.870001,903884
2023-01-12,19.250000,20.860001,18.670000,20.520000,20.520000,4633693
2023-01-13,20.660000,21.690001,20.120001,20.790001,20.790001,1660634
2023-01-16,20.799999,20.950001,20.139999,20.219999,20.219999,862324
2023-01-17,20.110001,20.379999,19.480000,20.049999,20.049999,1171939
2023-01-18,20.200001,20.959999,19.730000,19.754999,19.754999,809235
2023-01-19,19.200001,19.830000,19.055000,19.230000,19.230000,978246
2023-01-20,19.590000,19.780001,18.639999,19.209999,19.209999,1010698
2023-01-23,19.379999,19.844999,18.965000,19.580000,19.580000,546403
2023-01-24,19.400000,19.709999,19.129999,19.605000,19.605000,663615
2023-01-25,19.600000,19.600000,18.799999,19.020000,19.020000,674426
2023-01-26,19.094999,19.365000,18.760000,18.834999,18.834999,776921
2023-01-27,18.700001,19.180000,18.594999,19.165001,19.165001,767513
2023-01-30,19.090000,19.285000,18.790001,19.235001,19.235001,748884
2023-01-31,18.365000,19.120001,18.059999,18.930000,18.930000,984659
2023-02-01,18.955000,19.135000,18.730000,18.850000,18.850000,708464
2023-02-02,19.150000,20.990000,19.030001,20.570000,20.570000,1332812
2023-02-03,20.570000,21.070000,20.180000,21.040001,21.040001,1113944
2023-02-06,20.860001,21.040001,20.309999,20.730000,20.730000,891835
2023-02-07,20.600000,21.350000,20.600000,20.879999,20.879999,699122
2023-02-08,20.940001,21.160000,20.290001,20.900000,20.900000,739754
2023-02-09,21.100000,21.420000,20.809999,21.170000,21.170000,612291
2023-02-10,21.010000,21.299999,20.219999,20.260000,20.260000,754619
2023-02-13,20.270000,20.350000,20.020000,20.260000,20.260000,447078
2023-02-14,20.299999,20.559999,19.900000,19.900000,19.900000,659843
2023-02-15,19.915001,20.059999,19.590000,19.834999,19.834999,674437
2023-02-16,19.980000,20.290001,19.594999,19.684999,19.684999,798778
2023-02-17,19.995001,20.809999,19.750000,20.430000,20.430000,851600
2023-02-20,20.490000,20.920000,20.250000,20.790001,20.790001,424691
2023-02-21,20.559999,20.600000,20.110001,20.370001,20.370001,725622
2023-02-22,20.290001,20.680000,20.230000,20.330000,20.330000,615273
2023-02-23,20.340000,20.389999,19.799999,20.150000,20.150000,657828
2023-02-24,20.240000,20.320000,19.975000,20.180000,20.180000,553719
